id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Gold Chain Theory,Verse King,hip-hop,confident,0.85,96,0.72,0.91,0.08
12,Sonata in Grey,Clara Voss,classical,melancholy,0.22,52,0.18,0.20,0.97
13,Back Road Summer,The Pines,country,nostalgic,0.61,104,0.76,0.65,0.72
14,Velvet Nights,Sable Monroe,r&b,romantic,0.58,88,0.78,0.69,0.44
15,Iron Cathedral,Dreadmount,metal,angry,0.97,168,0.22,0.55,0.04
16,Empty Porch,River Hen,folk,sad,0.30,68,0.24,0.38,0.93
17,Drop the Signal,Flux Circuit,electronic,energetic,0.94,140,0.66,0.95,0.02
18,Coastal Breeze,Sun Riddim,reggae,peaceful,0.55,82,0.88,0.76,0.60
19,Dust and Rain,Hound Freely,blues,longing,0.44,76,0.31,0.47,0.85
20,Bailando en Fuego,La Tormenta,latin,uplifting,0.88,128,0.92,0.93,0.15
